Date,Open,High,Low,Close,Volume,feature1,feature2,feature3,feature4,feature5
10/17/2023,97.49,97.95,95.8,96.03,893777,0.0,0.0,0.0,0.0,0.0
10/18/2023,95.99,96.9,94.85,95.17,564595,0.0,0.0,0.0,0.0,0.0
10/19/2023,95.5,99.0,95.1,98.24,3130496,0.0,0.0,0.0,0.0,0.0
10/20/2023,98.55,100.94,97.6,99.84,6108214,0.0,0.0,0.0,0.0,0.0
10/23/2023,101.0,101.0,99.13,99.34,1445805,0.0,0.0,0.0,0.0,0.0
10/24/2023,99.9,99.9,98.11,99.12,815048,0.0,0.0,0.0,0.0,0.0
10/25/2023,99.4,100.7,96.5,97.45,2706525,0.0,0.0,0.0,0.0,0.0
10/26/2023,97.75,98.68,95.8,96.02,1123703,0.0,0.0,0.0,0.0,0.0
10/27/2023,96.7,97.5,95.01,95.38,1515079,0.0,0.0,0.0,0.0,0.0
10/30/2023,95.99,95.99,92.8,93.69,8100776,0.0,0.0,0.0,0.0,0.0
10/31/2023,94.35,95.0,93.55,93.75,1751671,0.0,0.0,0.0,0.0,0.0
11/1/2023,94.01,96.68,94.0,95.45,3197497,0.0,0.0,0.0,0.0,0.0
11/2/2023,93.0,94.99,92.53,94.79,1403865,0.0,0.0,0.0,0.0,0.0
11/3/2023,94.8,95.5,93.0,93.45,818894,0.0,0.0,0.0,0.0,0.0
11/6/2023,93.98,94.94,93.3,94.26,1160523,0.0,0.0,0.0,0.0,0.0
11/7/2023,94.05,96.25,93.75,94.05,2191751,0.0,0.0,0.0,0.0,0.0
11/8/2023,94.05,97.0,94.0,96.07,7270220,0.0,0.0,0.0,0.0,0.0
11/10/2023,96.25,97.6,96.05,96.67,3398014,0.0,0.0,0.0,0.0,0.0
11/13/2023,96.9,98.0,96.9,97.46,2758478,0.0,0.0,0.0,0.0,0.0
11/14/2023,97.2,97.99,97.0,97.27,2515511,0.0,0.0,0.0,0.0,0.0
11/15/2023,98.0,99.01,96.8,97.58,3705878,0.0,0.0,0.0,0.0,0.0
11/16/2023,98.0,98.5,96.26,97.56,1969654,0.0,0.0,0.0,0.0,0.0
11/17/2023,101.0,101.2,96.7,97.02,2955404,0.0,0.0,0.0,0.0,0.0
11/20/2023,97.5,97.69,95.82,96.43,405567,0.0,0.0,0.0,0.0,0.0
11/21/2023,97.0,97.7,96.65,96.75,1664356,0.0,0.0,0.0,0.0,0.0
11/22/2023,96.05,97.75,96.05,97.12,1455934,0.0,0.0,0.0,0.0,0.0
11/23/2023,96.5,98.4,96.1,96.91,3262230,0.0,0.0,0.0,0.0,0.0
11/24/2023,97.4,104.18,97.0,101.42,11462730,0.0,0.0,0.0,0.0,0.0
11/27/2023,102.25,109.03,102.1,109.03,10967560,0.0,0.0,0.0,0.0,0.0
11/28/2023,111.25,116.5,111.25,114.75,7088651,0.0,0.0,0.0,0.0,0.0
11/29/2023,115.0,116.5,109.5,111.18,3955219,0.0,0.0,0.0,0.0,0.0
11/30/2023,112.98,114.1,109.05,111.67,3226380,0.0,0.0,0.0,0.0,0.0
12/1/2023,112.49,112.99,110.5,111.54,885115,0.0,0.0,0.0,0.0,0.0
12/4/2023,112.0,113.1,111.16,111.51,1225196,0.0,0.0,0.0,0.0,0.0
